danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature,preview_url,cover_url,name,artist
0.753,0.704,5,-5.562,1,0.0843,0.259,0.143,0.103,0.8,93.951,audio_features,4Z9npQ93MrnIkRcTBKwSa3,https://api.spotify.com/v1/tracks/4Z9npQ93MrnIkRcTBKwSa3,https://api.spotify.com/v1/audio-analysis/4Z9npQ93MrnIkRcTBKwSa3,91465,4,https://p.scdn.co/mp3-preview/1fa0d4bcb13eba09dd8d2237c837b07de6f4742b?cid=718b8cfaa2a44b50bc178452e14878ec,https://i.scdn.co/image/ab67616d0000b273a31dd5d96b9df819e331fdcb,Looks,Steve Lacy
0.646,0.286,2,-12.361,1,0.038,0.073,2.01e-05,0.0325,0.158,77.161,audio_features,4AyF3otW64PCw45b1ENW77,https://api.spotify.com/v1/tracks/4AyF3otW64PCw45b1ENW77,https://api.spotify.com/v1/audio-analysis/4AyF3otW64PCw45b1ENW77,330033,4,https://p.scdn.co/mp3-preview/09a0f6ff0da6c292f8dd82e928a625362cf6b10b?cid=718b8cfaa2a44b50bc178452e14878ec,https://i.scdn.co/image/ab67616d0000b273d3444f4ea3ffb15a7cb372cc,Fruitflies,Gabriel Garzón-Montano
0.658,0.294,4,-8.533,0,0.0321,0.422,5.2e-05,0.0749,0.358,74.038,audio_features,7zFXmv6vqI4qOt4yGf3jYZ,https://api.spotify.com/v1/tracks/7zFXmv6vqI4qOt4yGf3jYZ,https://api.spotify.com/v1/audio-analysis/7zFXmv6vqI4qOt4yGf3jYZ,278180,4,https://p.scdn.co/mp3-preview/004e53a751e628eba8eff49946e90afb640b8c5f?cid=718b8cfaa2a44b50bc178452e14878ec,https://i.scdn.co/image/ab67616d0000b2733138f891f3075c9c5d944037,Get You (feat. Kali Uchis),Daniel Caesar
0.741,0.562,8,-4.739,0,0.0867,0.226,6.15e-05,0.0596,0.707,77.477,audio_features,1d3RMBeBUq9frA2GRJRUA0,https://api.spotify.com/v1/tracks/1d3RMBeBUq9frA2GRJRUA0,https://api.spotify.com/v1/audio-analysis/1d3RMBeBUq9frA2GRJRUA0,255267,4,https://p.scdn.co/mp3-preview/0bfd44fe314d4a387a3617ab44827a48d6e5e111?cid=718b8cfaa2a44b50bc178452e14878ec,https://i.scdn.co/image/ab67616d0000b273bc734b3bfb3a942020f876cb,The Distance,Gavin Turek
0.772,0.256,7,-8.545,0,0.0481,0.491,0.00612,0.144,0.357,118.902,audio_features,2k9N4caeCIJLOWwWwssrEM,https://api.spotify.com/v1/tracks/2k9N4caeCIJLOWwWwssrEM,https://api.spotify.com/v1/audio-analysis/2k9N4caeCIJLOWwWwssrEM,210240,3,https://p.scdn.co/mp3-preview/553a07ba23de181462a42649a917f6a7f21b1ae9?cid=718b8cfaa2a44b50bc178452e14878ec,https://i.scdn.co/image/ab67616d0000b273e6dfaed2104e0512b7f22256,Easily,Bruno Major
0.544,0.552,9,-7.45,1,0.0991,0.67,4.57e-05,0.415,0.554,159.738,audio_features,3xKsf9qdS1CyvXSMEid6g8,https://api.spotify.com/v1/tracks/3xKsf9qdS1CyvXSMEid6g8,https://api.spotify.com/v1/audio-analysis/3xKsf9qdS1CyvXSMEid6g8,184516,3,https://p.scdn.co/mp3-preview/3ebaac6d4686eea331d448a290941364b047b985?cid=718b8cfaa2a44b50bc178452e14878ec,https://i.scdn.co/image/ab67616d0000b273c5649add07ed3720be9d5526,Pink + White,Frank Ocean
0.743,0.347,1,-11.174,1,0.121,0.167,0.00951,0.103,0.572,160.143,audio_features,0wXuerDYiBnERgIpbb3JBR,https://api.spotify.com/v1/tracks/0wXuerDYiBnERgIpbb3JBR,https://api.spotify.com/v1/audio-analysis/0wXuerDYiBnERgIpbb3JBR,326933,4,https://p.scdn.co/mp3-preview/0167089f98ed9b52156232cc17294c7676a88dd4?cid=718b8cfaa2a44b50bc178452e14878ec,https://i.scdn.co/image/ab67616d0000b273b08b996d08001270adc8b555,Redbone,Childish Gambino
0.513,0.822,8,-4.776,0,0.445,0.61,2.16e-06,0.658,0.569,74.008,audio_features,1goN1TN8DZDLRNizMciiho,https://api.spotify.com/v1/tracks/1goN1TN8DZDLRNizMciiho,https://api.spotify.com/v1/audio-analysis/1goN1TN8DZDLRNizMciiho,157113,4,https://p.scdn.co/mp3-preview/99d3376bdb7e9d7ce13dcc57661cc6aaa7e61a81?cid=718b8cfaa2a44b50bc178452e14878ec,https://i.scdn.co/image/ab67616d0000b273181e905ea4012cd983f48999,Dent Jusay,Matt Martians
0.612,0.442,6,-8.874,1,0.289,0.651,0.0,0.26,0.253,119.235,audio_features,5wTVNpi5WDByxBgKgUE6MU,https://api.spotify.com/v1/tracks/5wTVNpi5WDByxBgKgUE6MU,https://api.spotify.com/v1/audio-analysis/5wTVNpi5WDByxBgKgUE6MU,181120,5,https://p.scdn.co/mp3-preview/f37d94fc4ba9668758ce4b5b1ec3e6a51204f070?cid=718b8cfaa2a44b50bc178452e14878ec,https://i.scdn.co/image/ab67616d0000b2734c79d5ec52a6d0302f3add25,Supermodel,SZA
0.296,0.419,11,-8.169,1,0.0331,0.516,0.00684,0.103,0.102,57.906,audio_features,4R1V7Ri8CP85PpRh56v0Is,https://api.spotify.com/v1/tracks/4R1V7Ri8CP85PpRh56v0Is,https://api.spotify.com/v1/audio-analysis/4R1V7Ri8CP85PpRh56v0Is,211827,4,https://p.scdn.co/mp3-preview/3d8a4244fbc6f78488cdd07e240b067808a1e6a4?cid=718b8cfaa2a44b50bc178452e14878ec,https://i.scdn.co/image/ab67616d0000b2731e69ac511162b8c4548039d8,Needy Bees,Nick Hakim
